OBJECTID;BaselineID;Group;TransOrder;ProcTime;Autogen;StartX;StartY;EndX;EndY;Azimuth;SHAPE_Leng;SETOR
373;1;0;373;2020/07/15 11:53:10;1;297360,53000000000;9135526,73000000000;297334,67000000000;9135483,94000000000;211,15000000000;9,63517768306;3
374;1;0;374;2020/07/15 11:53:10;1;297363,19000000000;9135525,36000000000;297343,71000000000;9135479,31000000000;202,93000000000;8,14436322953;3
375;1;0;375;2020/07/15 11:53:10;1;297365,99000000000;9135524,29000000000;297348,11000000000;9135477,60000000000;200,96000000000;7,62371869576;3
478;1;0;478;2020/07/15 11:53:11;1;297321,31000000000;9135535,52000000000;297328,53000000000;9135486,05000000000;171,70000000000;6,18858340339;3
479;1;0;479;2020/07/15 11:53:11;1;297324,30000000000;9135535,76000000000;297318,23000000000;9135486,13000000000;186,97000000000;6,68529244375;3
481;1;0;481;2020/07/15 11:53:11;1;297329,28000000000;9135533,40000000000;297347,55000000000;9135486,86000000000;158,57000000000;7,47320395714;3
484;1;0;484;2020/07/15 11:53:11;1;297336,02000000000;9135537,50000000000;297324,29000000000;9135488,89000000000;193,58000000000;11,71342850330;3
485;1;0;485;2020/07/15 11:53:11;1;297338,94000000000;9135536,78000000000;297325,69000000000;9135488,57000000000;195,37000000000;12,14813292900;3
486;1;0;486;2020/07/15 11:53:11;1;297341,68000000000;9135535,63000000000;297323,40000000000;9135489,09000000000;201,45000000000;11,94732015840;3
487;1;0;487;2020/07/15 11:53:11;1;297344,59000000000;9135534,98000000000;297335,81000000000;9135485,75000000000;190,11000000000;12,64203129410;3
488;1;0;488;2020/07/15 11:53:11;1;297347,47000000000;9135534,21000000000;297329,48000000000;9135487,56000000000;201,09000000000;12,73602189060;3
489;1;0;489;2020/07/15 11:53:11;1;297350,24000000000;9135533,08000000000;297327,42000000000;9135488,59000000000;207,16000000000;12,71697466470;3
490;1;0;490;2020/07/15 11:53:11;1;297352,78000000000;9135531,48000000000;297324,98000000000;9135489,92000000000;213,78000000000;12,32582724920;3
491;1;0;491;2020/07/15 11:53:11;1;297355,32000000000;9135529,92000000000;297329,08000000000;9135487,36000000000;211,66000000000;11,58833209850;3
