OBJECTID;BaselineID;Group;TransOrder;ProcTime;Autogen;StartX;StartY;EndX;EndY;Azimuth;SHAPE_Leng;SETOR
679;1;0;679;;1;0;0;0;0;0;-19,70853901;1
680;0;0;0;;;0;0;0;0;0;-20,59650225;1
681;0;0;0;;;0;0;0;0;0;-20,98193344;1
682;0;0;0;;;0;0;0;0;0;-139,3969147;1
297;1;0;297;13/07/2020 16:08;1;297539,04;9135495,33;297482,8;9135356,28;202,02;-19,74101843;1
298;1;0;298;13/07/2020 16:08;1;297536,24;9135496,37;297488,63;9135354,13;198,51;-20,30796779;1
299;1;0;299;13/07/2020 16:08;1;297533,43;9135497,41;297476,76;9135358,52;202,19;-21,18985475;1
300;1;0;300;13/07/2020 16:08;1;297530,74;9135498,73;297464,97;9135363,92;206,01;-21,29442376;1
301;1;0;301;13/07/2020 16:08;1;297528,05;9135500,05;297462,62;9135365,08;205,87;-22,73817909;1
302;1;0;302;13/07/2020 16:08;1;297525,26;9135501,13;297476,46;9135359,29;198,99;-22,74452347;1
303;1;0;303;13/07/2020 16:08;1;297522,48;9135502,23;297464,5;9135363,89;202,74;-22,42074087;1
304;1;0;304;13/07/2020 16:08;1;297519,67;9135503,29;297464,1;9135363,96;201,74;-22,45691024;1
305;1;0;305;13/07/2020 16:08;1;297516,93;9135504,49;297453,93;9135368,36;204,83;-23,1158308;1
306;1;0;306;13/07/2020 16:08;1;297514,2;9135505,75;297454,5;9135368,14;203,45;-23,77538682;1
307;1;0;307;13/07/2020 16:08;1;297511,48;9135506,99;297456,75;9135367,33;201,4;-24,08084743;1
308;1;0;308;13/07/2020 16:08;1;297508,67;9135508,03;297442,98;9135373,18;205,97;-24,07850622;1
309;1;0;309;13/07/2020 16:08;1;297505,94;9135509,24;297449,01;9135370,46;202,3;-23,98113488;1
310;1;0;310;13/07/2020 16:08;1;297503,24;9135510,55;297449,63;9135370,45;200,94;-24,23015949;1
312;1;0;312;13/07/2020 16:08;1;297497,49;9135512,14;297438,38;9135374,28;203,21;-23,22037524;1
313;1;0;313;13/07/2020 16:08;1;297494,7;9135513,22;297440,16;9135373,49;201,32;-22,75752889;1
314;1;0;314;13/07/2020 16:08;1;297491,87;9135514,2;297450;9135370,16;196,21;-22,58237613;1
315;1;0;315;13/07/2020 16:08;1;297488,98;9135515;297446,32;9135371,2;196,52;-22,00225754;1
316;1;0;316;13/07/2020 16:08;1;297486,11;9135515,87;297450,8;9135370,08;193,61;-21,82125455;1
317;1;0;317;13/07/2020 16:08;1;297483,23;9135516,67;297438,35;9135373,54;197,41;-21,10608403;1
318;1;0;318;13/07/2020 16:08;1;297480,36;9135517,54;297436,64;9135374,06;196,95;-20,62768634;1
319;1;0;319;13/07/2020 16:08;1;297477,47;9135518,34;297432,99;9135375,09;197,25;-20,11743016;1
321;1;0;321;13/07/2020 16:08;1;297471,78;9135520,21;297436,64;9135374,38;193,55;-19,99385279;1
322;1;0;322;13/07/2020 16:08;1;297468,91;9135521,07;297429,08;9135376,45;195,4;-19,36196602;1
